gameId,name,weapon,won,shotsFired,shotsHit,kills,damageDealt,damageTaken,causeOfDeath,roundsSurvived,deathRow,deathCol,timesStuck
1764984120,Reaper_1,S,1,19,19,6,311,63,alive,295,-1,-1,0
1764984120,Reaper_1,S,1,27,31,5,538,57,alive,421,-1,-1,0
1764984120,Reaper_1,S,1,16,16,3,264,30,alive,363,-1,-1,0
1764984120,Reaper_1,S,0,22,26,5,437,100,flame,92,13,4,0
1764984120,Reaper_1,S,1,11,11,2,189,30,alive,518,-1,-1,0
1764984120,Reaper_1,S,1,31,35,8,590,17,alive,244,-1,-1,0
1764984120,Reaper_1,S,1,19,27,5,429,21,alive,337,-1,-1,0
1764984120,Reaper_1,S,0,3,3,0,48,99,railgun from Rat_6,4,16,14,0
1764984120,Reaper_1,S,1,26,29,5,504,39,alive,495,-1,-1,0
1764984120,Reaper_1,S,1,15,15,4,246,63,alive,294,-1,-1,0
1764984120,Reaper_1,S,1,32,38,8,631,53,alive,386,-1,-1,0
1764984120,Reaper_1,S,0,13,17,4,288,93,flame,34,13,4,0
1764984121,Reaper_1,S,1,39,45,9,775,45,alive,257,-1,-1,0
1764984121,Reaper_1,S,1,31,34,9,512,51,alive,140,-1,-1,0
1764984121,Reaper_1,S,1,25,28,9,447,94,alive,339,-1,-1,0
1764984121,Reaper_1,S,0,26,47,10,782,100,flame,242,13,13,0
1764984121,Reaper_1,S,1,22,22,4,374,67,alive,296,-1,-1,0
1764984121,Reaper_1,S,1,19,25,6,429,27,alive,305,-1,-1,0
1764984121,Reaper_1,S,1,23,29,4,487,17,alive,344,-1,-1,0
1764984121,Reaper_1,S,0,10,19,5,333,95,collision with Hammer_8,30,13,5,0
1764984121,Reaper_1,S,0,12,13,1,238,104,collision with Flame_4,27,10,4,0
1764984121,Reaper_1,S,0,8,9,0,162,94,collision with Flame_4,23,1,16,0
1764984121,Reaper_1,S,1,34,46,11,796,78,alive,154,-1,-1,0
1764984121,Reaper_1,S,1,31,43,7,744,12,alive,335,-1,-1,0
1764984121,Reaper_1,S,1,23,28,9,432,44,alive,505,-1,-1,0
1764984121,Reaper_1,S,1,19,21,7,327,0,alive,407,-1,-1,0
1764984121,Reaper_1,S,1,8,9,0,161,17,alive,338,-1,-1,0
1764984121,Reaper_1,S,1,22,25,8,404,94,alive,154,-1,-1,0
1764984121,Reaper_1,S,0,5,8,0,131,95,railgun from Rat_4,4,7,13,0
1764984121,Reaper_1,S,1,36,42,9,711,5,alive,511,-1,-1,0
1764984121,Reaper_1,S,1,27,31,8,527,62,alive,665,-1,-1,0
1764984121,Reaper_1,S,0,4,6,1,103,96,railgun from Rat_4,8,15,7,0
1764984121,Reaper_1,S,1,15,15,4,248,0,alive,335,-1,-1,0
1764984121,Reaper_1,S,1,28,33,8,559,59,alive,304,-1,-1,0
1764984121,Reaper_1,S,1,27,38,9,620,5,alive,389,-1,-1,0
1764984121,Reaper_1,S,0,0,0,0,0,100,railgun from Rat_7,4,1,5,0
1764984121,Reaper_1,S,1,18,22,5,367,0,alive,404,-1,-1,0
1764984121,Reaper_1,S,0,12,16,1,285,100,railgun from Rat_2,17,16,8,0
1764984121,Reaper_1,S,1,31,38,9,660,80,alive,440,-1,-1,0
1764984121,Reaper_1,S,1,15,17,4,288,3,alive,437,-1,-1,0
1764984121,Reaper_1,S,1,26,29,6,467,57,alive,333,-1,-1,0
1764984121,Reaper_1,S,1,27,31,8,519,44,alive,366,-1,-1,0
1764984121,Reaper_1,S,0,6,8,0,138,100,railgun from Rat_1,21,8,17,0
1764984121,Reaper_1,S,1,32,42,8,714,25,alive,282,-1,-1,0
1764984121,Reaper_1,S,1,30,33,9,561,46,alive,111,-1,-1,0
1764984121,Reaper_1,S,0,3,3,0,48,96,railgun from Rat_3,5,15,3,0
1764984121,Reaper_1,S,1,16,17,5,285,38,alive,511,-1,-1,0
1764984122,Reaper_1,S,1,10,11,0,193,15,alive,491,-1,-1,0
1764984122,Reaper_1,S,1,12,18,6,273,25,alive,330,-1,-1,0
1764984122,Reaper_1,S,1,15,18,8,328,7,alive,178,-1,-1,0
1764984122,Reaper_1,S,1,26,29,6,508,33,alive,354,-1,-1,0
1764984122,Reaper_1,S,1,31,37,7,611,7,alive,338,-1,-1,0
